iter	Passed	Remaining
901	21412	2326
902	21436	2302
903	21458	2278
904	21478	2254
905	21498	2230
906	21521	2206
907	21545	2183
908	21567	2159
909	21597	2135
910	21632	2113
911	21669	2090
912	21698	2067
913	21723	2044
914	21748	2020
915	21772	1996
916	21798	1973
917	21817	1948
918	21839	1924
919	21861	1900
920	21881	1876
921	21907	1853
922	21924	1829
923	21941	1804
924	21964	1780
925	21989	1757
926	22012	1733
927	22034	1709
928	22059	1685
929	22088	1662
930	22110	1638
931	22137	1615
932	22161	1591
933	22180	1567
934	22204	1543
935	22224	1519
936	22247	1495
937	22273	1472
938	22297	1448
939	22320	1424
940	22349	1401
941	22373	1377
942	22397	1353
943	22418	1329
944	22438	1305
945	22463	1282
946	22489	1258
947	22510	1234
948	22534	1211
949	22553	1187
950	22578	1163
951	22598	1139
952	22621	1115
953	22647	1092
954	22669	1068
955	22695	1044
956	22720	1020
957	22746	997
958	22772	973
959	22797	949
960	22819	926
961	22850	902
962	22875	878
963	22896	855
964	22916	831
965	22938	807
966	22960	783
967	22980	759
968	23004	735
969	23024	712
970	23046	688
971	23068	664
972	23091	640
973	23111	616
974	23131	593
975	23157	569
976	23182	545
977	23207	522
978	23233	498
979	23256	474
980	23277	450
981	23300	427
982	23324	403
983	23344	379
984	23366	355
985	23393	332
986	23417	308
987	23444	284
988	23463	260
989	23481	237
990	23510	213
991	23537	189
992	23555	166
993	23569	142
994	23589	118
995	23596	94
996	23602	71
997	23608	47
998	23614	23
999	23619	0
